Name                | Version                     | Source      | Updated                  
sqlitebrowser       | 3.12.2                      | extras      | 2023-01-30T16:48:55-03:00
steam               | nightly                     | versions    | 2022-09-19T13:52:53-03:00
sublime-text        | 4-4143                      | extras      | 2022-11-17T12:20:36-03:00
sudo                | 0.2020.01.26                | main        | 2022-12-19T11:32:50-03:00
tageditor           | 3.7.7                       | extras      | 2023-01-20T16:39:27-03:00
tortoisesvn         | 1.14.5.29465                | extras      | 2023-01-31T17:26:33-03:00
totalcommander      | 10.52                       | extras      | 2022-11-03T11:29:32-03:00
trid                | 2.24-23.01.30               | main        | 2023-02-02T11:19:18-03:00
uutils-coreutils    | 0.0.17                      | main        | 2023-01-23T21:00:51-03:00
vim                 | 9.0                         | main        | 2022-09-19T13:55:42-03:00
vscode              | 1.74.3                      | extras      | 2023-01-20T17:11:26-03:00
watchman            | 2023.01.30.00               | main        | 2023-02-02T11:19:21-03:00
wavebox             | 10.109.14.2                 | extras      | 2023-01-26T16:38:47-03:00
wezterm             | 20221119-145034-49b9839f    | extras      | 2022-11-28T18:34:55-03:00
winmerge            | 2.16.26                     | extras      | 2023-02-02T11:19:25-03:00
winrar              | 6.20                        | extras      | 2023-01-23T21:01:04-03:00
wiztree             | 4.12                        | extras      | 2022-12-15T11:22:17-03:00
workspacer          | 0.9.11                      | extras      | 2022-11-18T13:44:17-03:00
wsl-distrod         | 0.1.7                       | extras      | 2022-09-28T13:52:38-03:00
xnviewmp            | 1.4.2                       | extras      | 2023-02-02T11:19:44-03:00
z                   | 1.1.13                      | extras      | 2022-09-19T13:56:28-03:00
